,Unnamed: 0,Message,filtered_msg,clusters
401,401,You have initiated a txn of INR 334.48 at PayTM on ICICI Bank Card no.0250. OTP is 402741. DONT SHARE WITH ANYONE. BANK NEVER CALLS TO VERIFY OTP.,YOU HAVE INITIATED TXN OF INR AT PAYTM ON ICICI BANK CARD OTP IS DONT SHARE WITH ANYONE BANK NEVER CALLS TO VERIFY OTP,407
402,402,You have initiated a txn of INR 334.48 at PayTM on ICICI Bank Card no.0250. OTP is 402741. DONT SHARE WITH ANYONE. BANK NEVER CALLS TO VERIFY OTP.,YOU HAVE INITIATED TXN OF INR AT PAYTM ON ICICI BANK CARD OTP IS DONT SHARE WITH ANYONE BANK NEVER CALLS TO VERIFY OTP,407
403,403,"Dear Customer, You have made a Debit Card purchase of INR446.00 on 01 Oct. Info.MIN*PayTM      . Your Net Available Balance is INR 1,30,399.37.",DEAR CUSTOMER YOU HAVE MADE DEBIT CARD PURCHASE OF ON YOUR NET AVAILABLE BALANCE IS INR,217
404,404,"Dear Customer, You have made a Debit Card purchase of INR39.51 on 03 Oct. Info.MIN*Amazon web . Your Net Available Balance is INR 1,39,557.91.",DEAR CUSTOMER YOU HAVE MADE DEBIT CARD PURCHASE OF ON WEB YOUR NET AVAILABLE BALANCE IS INR,217
405,405,To register S R TRAVEL LEISURE GROUP as a payee you will need a URN. NEVER SHARE THE URN WITH ANYONE. BANK NEVER CALLS TO VERIFY IT. The URN is 982248.,TO REGISTER TRAVEL LEISURE GROUP AS PAYEE YOU WILL NEED URN NEVER SHARE THE URN WITH ANYONE BANK NEVER CALLS TO VERIFY IT THE URN IS,88
406,406,To make online payment of Rs. 7718.0 you will need a One Time Password(OTP). NEVER SHARE THE OTP WITH ANYONE. BANK NEVER CALLS TO VERIFY IT. The OTP is 846144.,TO MAKE ONLINE PAYMENT OF RS YOU WILL NEED ONE TIME PASSWORD OTP NEVER SHARE THE OTP WITH ANYONE BANK NEVER CALLS TO VERIFY IT THE OTP IS,18
407,407,"Dear Customer, You have made a Debit Card purchase of INR12,865.04 on 10 Oct. Info.MIN*cignattkins. Your Net Available Balance is INR 58,974.87.",DEAR CUSTOMER YOU HAVE MADE DEBIT CARD PURCHASE OF ON YOUR NET AVAILABLE BALANCE IS INR,217
408,408,"Dear Customer, You have made a Debit Card purchase of INR2,495.81 on 28 Nov. Info.MPS*CLUB MAHIND. Your Net Available Balance is INR 1,37,769.76.",DEAR CUSTOMER YOU HAVE MADE DEBIT CARD PURCHASE OF ON MAHIND YOUR NET AVAILABLE BALANCE IS INR,13
409,409,"Dear customer, the cash situation is being handled considering the stock of currency notes received from RBI and availability in currency chest, resulting in ATMs/branches running out of cash. Apologies for the inconvenience, we are doing our best. Meanwhile please use Mobile/Net Banking, Debit / Credit Card to make & receive payments. Go to app.kotak.com to download our app.",DEAR CUSTOMER THE CASH SITUATION IS BEING HANDLED CONSIDERING THE STOCK OF CURRENCY NOTES RECEIVED FROM RBI AND AVAILABILITY IN CURRENCY CHEST RESULTING IN RUNNING OUT OF CASH APOLOGIES FOR THE INCONVENIENCE WE ARE DOING OUR BEST MEANWHILE PLEASE USE BANKING DEBIT CREDIT CARD TO MAKE RECEIVE PAYMENTS GO TO TO DOWNLOAD OUR APP,47
410,410,"Dear Customer, You have made a Debit Card purchase of INR173.00 on 01 Dec. Info.MPS*RVK HOSPITA. Your Net Available Balance is INR 1,36,755.76.",DEAR CUSTOMER YOU HAVE MADE DEBIT CARD PURCHASE OF ON HOSPITA YOUR NET AVAILABLE BALANCE IS INR,217
411,411,"Your OTP for Fund Transfer of Rs.  10,000.00 from A/c ending 616 to Murarichoudhary, is 055639. Please do not share OTP, as it is confidential. Ref No-XXXX0554",YOUR OTP FOR FUND TRANSFER OF RS FROM ENDING TO MURARICHOUDHARY IS PLEASE DO NOT SHARE OTP AS IT IS CONFIDENTIAL REF,394
412,412,"Your OTP for Fund Transfer of Rs.  10,000.00 from A/c ending 616 to Akiranmondal, is 179186. Please do not share OTP, as it is confidential. Ref No-XXXX2247",YOUR OTP FOR FUND TRANSFER OF RS FROM ENDING TO AKIRANMONDAL IS PLEASE DO NOT SHARE OTP AS IT IS CONFIDENTIAL REF,394
413,413,Rs.4000 is Debited to A/c ...3691 on 12-01-17 11:14:23 (Clear Bal Rs.53246.72) AT ATM. TollFree 1800223344 18001024455 (6am-10pm),IS DEBITED TO ON CLEAR BAL AT ATM TOLLFREE,210
414,414,"Your OTP for Adding Murarichoudhary, A/c ending 048 as Beneficiary for Funds Transfer, is 775009. Please do not share OTP, as it is confidential. Ref No-XXXX4392",YOUR OTP FOR ADDING MURARICHOUDHARY ENDING AS BENEFICIARY FOR FUNDS TRANSFER IS PLEASE DO NOT SHARE OTP AS IT IS CONFIDENTIAL REF,302
415,415,"DEAR CARDMEMBER, PAYMENT OF Rs. 16082.72 RECEIVED TOWARDS YOUR CREDIT CARD ENDING 5893 THROUGH Netbanking ON 6-1-2017.YOUR AVAILABLE LIMIT IS RS. 21219.07",DEAR CARDMEMBER PAYMENT OF RS RECEIVED TOWARDS YOUR CREDIT CARD ENDING THROUGH NETBANKING ON AVAILABLE LIMIT IS RS,317
416,416,Ur transaction on HDFC Bank CREDIT Card ending 5893 for Rs. 1.00  has been credited/reversed by KLASSIC FOODS AND HOSP on 2017-01-11:14:16:54,UR TRANSACTION ON HDFC BANK CREDIT CARD ENDING FOR RS HAS BEEN BY KLASSIC FOODS AND HOSP ON,430
417,417,Rs.4000.00 was withdrawn using your HDFC Bank Card ending 6141 on 2017-01-10:14:05:22 at +HEERA PANNA SHOPPING. Avl bal: Rs.6081.10,WAS WITHDRAWN USING YOUR HDFC BANK CARD ENDING ON AT PANNA SHOPPING AVL BAL,23
418,418,"An amount of Rs.5,000.00 has been debited from your account  number XXXX7616 for an online payment txn done using HDFC Bank NetBanking.",AN AMOUNT OF HAS BEEN DEBITED FROM YOUR ACCOUNT NUMBER FOR AN ONLINE PAYMENT TXN DONE USING HDFC BANK NETBANKING,7
419,419,"Your a/c no. XXXXXXXXXX7616 is debited for INR 10,000.00 on 12-01-17 and a/c xxxxxxxxxxx2048 credited (IMPS Ref no 701217362438).",YOUR NO IS DEBITED FOR INR ON AND CREDITED IMPS REF NO,278
420,420,"INR 11,500.00 deposited to A/c No XX7616 towards CASH DEP SANDOZ - MUM Val 16-JAN-17. Clr Bal is INR 23,581.10 subject to clearing.",INR DEPOSITED TO NO TOWARDS CASH DEP SANDOZ MUM VAL CLR BAL IS INR SUBJECT TO CLEARING,149
421,421,"Your a/c no. XXXXXXXXXX7616 is debited for INR 10,000.00 on 16-01-17 and a/c xxxxxxx4708 credited (IMPS Ref no 701620386032).",YOUR NO IS DEBITED FOR INR ON AND CREDITED IMPS REF NO,278
422,422,"INR 8,000.00 Dr to A/c No XX7616 towards IMPS-701713345708-Bappa naskar-SBIN-xxxxxxx1296-Personal Val 17-JAN-17. Clr Bal INR 10,069.60.",INR DR TO NO TOWARDS VAL CLR BAL INR,15
423,423,"INR 11,000.00 deposited to A/c No XX7616 towards CASH DEP SANDOZ - MUM Val 17-JAN-17. Clr Bal is INR 21,069.60 subject to clearing.",INR DEPOSITED TO NO TOWARDS CASH DEP SANDOZ MUM VAL CLR BAL IS INR SUBJECT TO CLEARING,149
424,424,"An amount of Rs.9,000.00 has been debited from your account  number XXXX7616 for an online payment txn done using HDFC Bank NetBanking.",AN AMOUNT OF HAS BEEN DEBITED FROM YOUR ACCOUNT NUMBER FOR AN ONLINE PAYMENT TXN DONE USING HDFC BANK NETBANKING,7
425,425,"Your OTP for Adding Pravindra satyendra bhardwaj, A/c ending 334 as Beneficiary for Funds Transfer, is 812168. Please do not share OTP, as it is confidential. Ref No-XXXX8613",YOUR OTP FOR ADDING PRAVINDRA SATYENDRA BHARDWAJ ENDING AS BENEFICIARY FOR FUNDS TRANSFER IS PLEASE DO NOT SHARE OTP AS IT IS CONFIDENTIAL REF,132
426,426,"Dear Cardmember, we notice a transaction decline on your HDFCBank Cr.card due to Incorrect PIN.Use your chip+pin credit card ATM PIN to complete the transaction",DEAR CARDMEMBER WE NOTICE TRANSACTION DECLINE ON YOUR HDFCBANK DUE TO INCORRECT YOUR CREDIT CARD ATM PIN TO COMPLETE THE TRANSACTION,263
427,427,"Dear Customer, we hope you have generated a new 4 digit PIN for your Credit Card by now. If not, please click bit.ly/2gcMBoW for details.",DEAR CUSTOMER WE HOPE YOU HAVE GENERATED NEW DIGIT PIN FOR YOUR CREDIT CARD BY NOW IF NOT PLEASE CLICK FOR DETAILS,207
428,428,"Dear Customer, we are upgrading our IMPS service due to which MMID Generation & MMID Cancellation services may get affected between 15th to 20th Jan 2017. We apologize for the inconvenience caused.",DEAR CUSTOMER WE ARE UPGRADING OUR IMPS SERVICE DUE TO WHICH MMID GENERATION MMID CANCELLATION SERVICES MAY GET AFFECTED BETWEEN TO JAN WE APOLOGIZE FOR THE INCONVENIENCE CAUSED,297
429,429,351677 is your Dynamic Access Code for CRN XXX2234.,IS YOUR DYNAMIC ACCESS CODE FOR CRN,21
430,430,One Time Password for NetBanking Transaction is 090942. Please use the password to complete the Transaction. Pls do not share this with anyone. Ref No- XXXX2447,ONE TIME PASSWORD FOR NETBANKING TRANSACTION IS PLEASE USE THE PASSWORD TO COMPLETE THE TRANSACTION PLS DO NOT SHARE THIS WITH ANYONE REF,29
431,431,Balance in A/c XXXXXXXXXX2600 as of 01-SEP-16 EOD is INR 938.58 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
432,432,"Balance in A/c XXXXXXXXXX2600 as of 06-SEP-16 EOD is INR 4,938.58 . Check A/c for current balance . Credits in A/c are subject to clearing",BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
433,433,An amount of Rs.10.00 has been debited from your account  number XXXX2600 for an online payment txn done using HDFC Bank NetBanking.,AN AMOUNT OF HAS BEEN DEBITED FROM YOUR ACCOUNT NUMBER FOR AN ONLINE PAYMENT TXN DONE USING HDFC BANK NETBANKING,7
434,434,"Balance in A/c XXXXXXXXXX2600 as of 12-SEP-16 EOD is INR 1,589.08 . Check A/c for current balance . Credits in A/c are subject to clearing",BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
435,435,"Balance in A/c XXXXXXXXXX2600 as of 22-SEP-16 EOD is INR 1,555.08 . Check A/c for current balance . Credits in A/c are subject to clearing",BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
436,436,"INR 21,101.00 deposited to A/c No XX2600 towards 02390340000083-30/09/2016-2000176912 Val 30-SEP-16. Clr Bal is INR 22,845.08 subject to clearing.",INR DEPOSITED TO NO TOWARDS VAL CLR BAL IS INR SUBJECT TO CLEARING,188
437,437,"Balance in A/c XXXXXXXXXX2600 as of 30-SEP-16 EOD is INR 23,248.08 . Check A/c for current balance . Credits in A/c are subject to clearing",BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
438,438,Balance in A/c XXXXXXXXXX2600 as of 02-OCT-16 EOD is INR 248.08 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
439,439,"Your a/c no. XXXXXXXX2600 is credited by Rs.6,100.00 on 07-10-16 by a/c linked to mobile XXXXXXX185(IMPS Ref no 628105927013)",YOUR NO IS CREDITED BY ON BY LINKED TO MOBILE IMPS REF NO,39
440,440,"INR 6,128.00 Dr to A/c No XX2600 towards EMI 3906591  Chq S3906591002-1 10/16 Val 07-OCT-16. Clr Bal INR 121.73.",INR DR TO NO TOWARDS EMI CHQ VAL CLR BAL INR,440
441,441,"An amount of Rs.4,000.00 has been debited from your account  number XXXX2600 for an online payment txn done using HDFC Bank NetBanking.",AN AMOUNT OF HAS BEEN DEBITED FROM YOUR ACCOUNT NUMBER FOR AN ONLINE PAYMENT TXN DONE USING HDFC BANK NETBANKING,7
442,442,"INR 6,761.00 Dr to A/c No XX2600 towards 1511 OVERDUE LOAN - 3906591 RECOVERED Val 15-NOV-16. Clr Bal INR 4,300.98.",INR DR TO NO TOWARDS OVERDUE LOAN RECOVERED VAL CLR BAL INR,15
443,443,Balance in A/c XXXXXXXXXX2600 as of 17-NOV-16 EOD is INR 863.98 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
444,444,"An amount of Rs.21,000.00 has been debited from your account  number XXXX2600 for an online payment txn done using HDFC Bank NetBanking.",AN AMOUNT OF HAS BEEN DEBITED FROM YOUR ACCOUNT NUMBER FOR AN ONLINE PAYMENT TXN DONE USING HDFC BANK NETBANKING,7
445,445,Balance in A/c XXXXXXXXXX2600 as of 21-NOV-16 EOD is INR 858.23 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
446,446,"Balance in A/c XXXXXXXXXX2600 as of 24-NOV-16 EOD is INR 2,638.10 . Check A/c for current balance . Credits in A/c are subject to clearing",BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
447,447,"Your a/c no. XXXXXXXX2600 is credited by Rs.2,200.00 on 07-12-16 by a/c linked to mobile XXXXXXX185(IMPS Ref no 634206665014)",YOUR NO IS CREDITED BY ON BY LINKED TO MOBILE IMPS REF NO,39
448,448,Balance in A/c XXXXXXXXXX2600 as of 07-DEC-16 EOD is INR 644.35 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
449,449,Balance in A/c XXXXXXXXXX2600 as of 15-DEC-16 EOD is INR 510.60 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
450,450,Balance in A/c XXXXXXXXXX2600 as of 22-DEC-16 EOD is INR 381.60 . Check A/c for current balance . Credits in A/c are subject to clearing,BALANCE IN AS OF EOD IS INR CHECK FOR CURRENT BALANCE CREDITS IN ARE SUBJECT TO CLEARING,6
451,451,Your a/c no. XXXXXXXX3647 is debited for Rs.7000.00 on 30-09-16 and a/c  XXXXXXX2309  credited (IMPS Ref no 627419221317).,YOUR NO IS DEBITED FOR ON AND CREDITED IMPS REF NO,3
452,452,"Rs.5,842.00 has been debited from your A/c XX3647 via Kotak PG on 08-OCT-16 vide Ref No. 0032545565 .",HAS BEEN DEBITED FROM YOUR VIA KOTAK PG ON VIDE REF NO,253
453,453,Your a/c no. XXXXXXXX3647 is debited for Rs.500.00 on 21-12-16 and a/c  XXXXXXX8527  credited (IMPS Ref no 635619417548).,YOUR NO IS DEBITED FOR ON AND CREDITED IMPS REF NO,3
454,454,Give a missed call on 18002703333 to get balance of HDFC Bank a/c(s) linked to Cust Id ending with xxxx5932. For more txns click  http://bit.ly/HDFCBANKLITEApp,GIVE MISSED CALL ON TO GET BALANCE OF HDFC BANK LINKED TO CUST ID ENDING WITH FOR MORE TXNS CLICK HTTP,137
455,455,One Time Password for NetBanking Transaction is 756581. Please use the password to complete the Transaction. Pls do not share this with anyone. Ref No- XXXX7497,ONE TIME PASSWORD FOR NETBANKING TRANSACTION IS PLEASE USE THE PASSWORD TO COMPLETE THE TRANSACTION PLS DO NOT SHARE THIS WITH ANYONE REF,29
456,456,"Dear Customer, to secure your account from the increasing frauds at ATMs, we advise that you change the PIN for your Debit Card ending 8006 at the earliest. You can change your PIN via Net Banking, Mobile Banking or any Kotak Bank ATM.",DEAR CUSTOMER TO SECURE YOUR ACCOUNT FROM THE INCREASING FRAUDS AT ATMS WE ADVISE THAT YOU CHANGE THE PIN FOR YOUR DEBIT CARD ENDING AT THE EARLIEST YOU CAN CHANGE YOUR PIN VIA NET BANKING MOBILE BANKING OR ANY KOTAK BANK ATM,227
457,457,Txn of Rs.102 made on Kotak Debit card XX8006 on 07-10-2016 18:46:30 at 000000000240754.Combined balance in A/c XX3647 is Rs 49597.34,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
458,458,Txn of Rs.275 made on Kotak Debit card XX8006 on 25-12-2016 17:46:43 at CHANDANA.Combined balance in A/c XX3647 is Rs 1680.21,TXN OF MADE ON KOTAK DEBIT CARD ON AT BALANCE IN IS RS,8
459,459,Rs.2500.00 was withdrawn using your HDFC Bank Card ending 8204 on 2016-11-21:14:53:39 at BHUBANESWAR BRANCH. Avl bal: Rs.1358.23,WAS WITHDRAWN USING YOUR HDFC BANK CARD ENDING ON AT BHUBANESWAR BRANCH AVL BAL,23
460,460,Thank you for using Debit Card ending 8204 for Rs.129.00 in BANGALORE at D MART on 2016-12-16:16:40:32  Avl bal: Rs.381.60,THANK YOU FOR USING DEBIT CARD ENDING FOR IN BANGALORE AT MART ON AVL BAL,79
461,461,"Dear customer, please call from your preferred mobile number to use this feature.",DEAR CUSTOMER PLEASE CALL FROM YOUR PREFERRED MOBILE NUMBER TO USE THIS FEATURE,86
462,462,"Dear Customer,Gentle reminder that your EMI of Rs.6128 on HDFC Bank loan a/c no.3906591 is due on 7-Sep-16. Visit http://bit.ly/1cqqRYm to know more.",DEAR CUSTOMER GENTLE REMINDER THAT YOUR EMI OF ON HDFC BANK LOAN IS DUE ON VISIT HTTP TO KNOW MORE,73
463,463,We are unable to process your request. Please try after sometime.,WE ARE UNABLE TO PROCESS YOUR REQUEST PLEASE TRY AFTER SOMETIME,86
464,464,One Time Password for NetBanking Transaction is 024387. Please use the password to complete the Transaction. Pls do not share this with anyone.,ONE TIME PASSWORD FOR NETBANKING TRANSACTION IS PLEASE USE THE PASSWORD TO COMPLETE THE TRANSACTION PLS DO NOT SHARE THIS WITH ANYONE,29
465,465,"Dear Customer, Gentle reminder that your EMI of Rs. 6128 on HDFC Bank loan a/c no. 3906591 is due on 07-Oct-2016. Visit http://bit.ly/1cqqRYm to know more.",DEAR CUSTOMER GENTLE REMINDER THAT YOUR EMI OF RS ON HDFC BANK LOAN NO IS DUE ON VISIT HTTP TO KNOW MORE,492
466,466,"Dear Customer, for exchange or deposit of discontinued currency, please carry original & photocopy of valid ID proof when you visit the HDFC Bank branch.",DEAR CUSTOMER FOR EXCHANGE OR DEPOSIT OF DISCONTINUED CURRENCY PLEASE CARRY ORIGINAL PHOTOCOPY OF VALID ID PROOF WHEN YOU VISIT THE HDFC BANK BRANCH,259
467,467,4843 is one time verification code for Stasheasy.,IS ONE TIME VERIFICATION CODE FOR STASHEASY,446
468,468,"Dear Customer, Your Ac XXXXXXXX1480 is debited with INR57,600.00 23 Aug. Info.BIL*000821084936*cc bill*405. Your Total Avbl. Bal is INR1,22,446.00.",DEAR CUSTOMER YOUR AC IS DEBITED WITH YOUR TOTAL AVBL BAL IS,100
469,469,"Dear Customer, Your Ac XXXXXXXX1480 is debited with INR50,975.00  on 24 Sep. Info.BIL*000838016789*ICICI BANK . Your Total Avbl. Bal is INR1,98,867.00.",DEAR CUSTOMER YOUR AC IS DEBITED WITH ON BANK YOUR TOTAL AVBL BAL IS,17
470,470,"Dear Customer, Your Ac XXXXXXXX1480 is debited with INR1,00,000.00 11 Oct. Info.BIL*000847761578*Ghar*NSP. Your Total Avbl. Bal is INR2,25,120.30.",DEAR CUSTOMER YOUR AC IS DEBITED WITH YOUR TOTAL AVBL BAL IS,100
471,471,"Dear Customer, Your Ac XXXXXXXX1480 is debited with INR2,00,000.00 01 Nov. Info.BIL*000858637454*Monthly neh. Your Total Avbl. Bal is INR1,88,995.30.",DEAR CUSTOMER YOUR AC IS DEBITED WITH NEH YOUR TOTAL AVBL BAL IS,100
472,472,"Dear Customer, Your Ac XXXXXXXX1480 is credited with INR2,12,101.00 on 26 Nov. Info.NEFT-AXIC153300680786-THINK . Your Net Available Balance is INR3,01,529.85.",DEAR CUSTOMER YOUR AC IS CREDITED WITH ON YOUR NET AVAILABLE BALANCE IS,112
473,473,"Dear Customer, Your Ac XXXXXXXX1480 is debited with INR10,528.00  on 02 Dec. Info.BIL*000875424258*Office Elec. Your Total Avbl. Bal is INR10,82,087.85.",DEAR CUSTOMER YOUR AC IS DEBITED WITH ON ELEC YOUR TOTAL AVBL BAL IS,100
474,474,"Tranx of INR 1,129.00 using Credit Card 4xxx2003 is made at TATA DOCOMO-BIL on 19-AUG-15. Avbl Cr lmt:INR 4,12,721.43, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT TATA ON AVBL CR LMT INR TOTAL CR LMT INR,402
475,475,"Tranx of INR 1,570.00 using Credit Card 4xxx2003 is made at BROOKE BOND TAJ on 23-AUG-15. Avbl Cr lmt:INR 4,08,953.79, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT BROOKE BOND TAJ ON AVBL CR LMT INR TOTAL CR LMT INR,170
476,476,You have initiated a txn of INR 1940.00 at Parekh Int on ICICI Bank Card 2003. OTP is 174957. DONT SHARE IT WITH ANYONE. BANK NEVER CALLS TO VERIFY OTP.,YOU HAVE INITIATED TXN OF INR AT PAREKH INT ON ICICI BANK CARD OTP IS DONT SHARE IT WITH ANYONE BANK NEVER CALLS TO VERIFY OTP,2
477,477,"Tranx of INR 5,345.00 using Credit Card 4xxx2003 is made at FT CASH VAS on 26-AUG-15. Avbl Cr lmt:INR 4,55,077.71, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT FT CASH VAS ON AVBL CR LMT INR TOTAL CR LMT INR,170
478,478,"Tranx of INR 2,004.12 using Credit Card 4xxx2003 is made at HPCL TAJE on 06-SEP-15. Avbl Cr lmt:INR 4,47,024.55, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT HPCL TAJE ON AVBL CR LMT INR TOTAL CR LMT INR,170
479,479,"Tranx of INR 1,526.00 using Credit Card 4xxx2003 is made at CAFE DELHI on 19-SEP-15. Avbl Cr lmt:INR 4,29,907.26, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT CAFE DELHI ON AVBL CR LMT INR TOTAL CR LMT INR,170
480,480,"Tranx of INR 2,099.57 using Credit Card 4xxx2003 is made at BATRA BROTHERS on 27-SEP-15. Avbl Cr lmt:INR 4,23,741.43, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT BATRA BROTHERS ON AVBL CR LMT INR TOTAL CR LMT INR,170
481,481,"Tranx of INR 240.00 using Credit Card 4xxx2003 is made at DR LAL PATH LAB on 04-OCT-15. Avbl Cr lmt:INR 4,16,463.93, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT DR LAL PATH LAB ON AVBL CR LMT INR TOTAL CR LMT INR,384
482,482,"Dear Customer, you are now eligible for an increase in the credit limit on your Credit Card XX2003 from Rs 5,00,000 to Rs 6,50,000 without any charges. To avail this free increase in credit limit, SMS CLI to 5676766.",DEAR CUSTOMER YOU ARE NOW ELIGIBLE FOR AN INCREASE IN THE CREDIT LIMIT ON YOUR CREDIT CARD FROM RS TO RS WITHOUT ANY CHARGES TO AVAIL THIS FREE INCREASE IN CREDIT LIMIT SMS CLI TO,33
483,483,"Dear Customer, Payment of INR 83424.00 has been received on your ICICI Bank Credit Card Account 4xxx2003 on 22-OCT-15. Thank you",DEAR CUSTOMER PAYMENT OF INR HAS BEEN RECEIVED ON YOUR ICICI BANK CREDIT CARD ACCOUNT ON THANK YOU,406
484,484,"Dear Customer, you are now eligible for an increase in the credit limit on your Credit Card XX2003 from Rs  5,00,000 to Rs  6,50,000 without any charges. To avail this free increase in credit limit, SMS CLI to 5676766.",DEAR CUSTOMER YOU ARE NOW ELIGIBLE FOR AN INCREASE IN THE CREDIT LIMIT ON YOUR CREDIT CARD FROM RS TO RS WITHOUT ANY CHARGES TO AVAIL THIS FREE INCREASE IN CREDIT LIMIT SMS CLI TO,33
485,485,"Tranx of INR 1,650.00 using Credit Card 4xxx2003 is made at DR LAL PATH LAB on 14-NOV-15. Avbl Cr lmt:INR 4,84,736.93, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT DR LAL PATH LAB ON AVBL CR LMT INR TOTAL CR LMT INR,384
486,486,"Tranx of INR 1,371.75 using Credit Card 4xxx2003 is made at BOOKMYSHOW on 21-NOV-15. Avbl Cr lmt:INR 4,89,431.63, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT BOOKMYSHOW ON AVBL CR LMT INR TOTAL CR LMT INR,170
487,487,"Tranx of INR 2,100.00 using Credit Card 4xxx2003 is made at SHIV SERVICE on 03-DEC-15. Avbl Cr lmt:INR 4,83,819.29, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT SHIV SERVICE ON AVBL CR LMT INR TOTAL CR LMT INR,170
488,488,"Tranx of INR 431.80 using Credit Card 4xxx2003 is made at SAGAR RATNA RES on 05-DEC-15. Avbl Cr lmt:INR 4,83,380.09, Total Cr lmt: INR 5,00,000.00",TRANX OF INR USING CREDIT CARD IS MADE AT SAGAR RATNA RES ON AVBL CR LMT INR TOTAL CR LMT INR,170
489,489,"944517 is your One Time Password for online purchase, Amex card ending 02030, if not requested call the number on back of card. 20/Sep/2015, 22:10 IST.",IS YOUR ONE TIME PASSWORD FOR ONLINE PURCHASE AMEX CARD ENDING IF NOT REQUESTED CALL THE NUMBER ON BACK OF CARD IST,59
490,490,"221119 is your One Time Password for online purchase, Amex card ending 02030, if not requested call the number on back of card. 08/Oct/2015, 17:36 IST.",IS YOUR ONE TIME PASSWORD FOR ONLINE PURCHASE AMEX CARD ENDING IF NOT REQUESTED CALL THE NUMBER ON BACK OF CARD IST,59
491,491,"990012 is your One Time Password for online purchase, Amex card ending 02030, if not requested call the number on back of card. 27/Nov/2015, 15:10 IST.",IS YOUR ONE TIME PASSWORD FOR ONLINE PURCHASE AMEX CARD ENDING IF NOT REQUESTED CALL THE NUMBER ON BACK OF CARD IST,59
492,492,"Dear Customer, Your Ac XXXXXXXX2885 is debited with INR2,25,000.00  on 24 Aug. Info.BIL*000821553886*pahun loan*. Your Total Avbl. Bal is INR2,05,384.33.",DEAR CUSTOMER YOUR AC IS DEBITED WITH ON YOUR TOTAL AVBL BAL IS,100
493,493,Your Customer Relationship Number (CRN) with Kotak Bank is 199869730. Enter this CRN to login to the Kotak mobile banking app.,YOUR CUSTOMER RELATIONSHIP NUMBER CRN WITH KOTAK BANK IS ENTER THIS CRN TO LOGIN TO THE KOTAK MOBILE BANKING APP,441
494,494,"Patron, Pls use OTP 252232 within 72 hrs for setting debit card PIN through PNB ATM or Internet Banking - Value Added Services -&gt; Card Related Services -&gt; Set/ Reset Debit card PIN. HO PNB.",PATRON PLS USE OTP WITHIN HRS FOR SETTING DEBIT CARD PIN THROUGH PNB ATM OR INTERNET BANKING VALUE ADDED SERVICES GT CARD RELATED SERVICES GT RESET DEBIT CARD PIN HO PNB,109
495,495,Your airtel money verification OTP is 577640.,YOUR AIRTEL MONEY VERIFICATION OTP IS,86
496,496,Get 5% cashback on transaction at Airtel Money. Coupon code CASH5. T&C apply. bit.ly/1RCJ4tB.,GET CASHBACK ON TRANSACTION AT AIRTEL MONEY COUPON CODE APPLY,328
